"location","price","beds","area"
"F-7, Islamabad","1.1 Arab","1","4 Kanal"
"F-7, Islamabad","25.25 Crore","4","1.2 Kanal"
"The Centaurus, F-8","17.17 Crore","3","11.7 Marla"
"The Centaurus, F-8","8.9 Crore","2","9 Marla"
"Pine City Housing Society, Pir Sohawa Road","8 Crore","2","4 Kanal"
"The Centaurus, F-8","7.3 Crore","1","5.1 Marla"
"Diplomatic Enclave, Islamabad","7.25 Crore","2","6.4 Marla"
"Bani Gala, Islamabad","6.7 Crore","4","1 Kanal"
"The Centaurus, F-8","6.5 Crore","1","5.1 Marla"
"The Centaurus, F-8","5.8 Crore","1","5.1 Marla"
